driver,avg_overperformance,total_races
Alexander Albon,55.768589938169704,138
Antonio Giovinazzi,41.408839759048696,60
Arvid Lindblad,40.39086641191509,9
Brendon Hartley,50.46251162993105,21
Carlos Sainz,50.471669184945405,181
Charles Leclerc,42.71943959131042,182
Daniel Ricciardo,47.37067976899728,128
Daniil Kvyat,52.074795422468775,38
Esteban Ocon,47.856151259108415,160
Fernando Alonso,42.972734781034326,144
Franco Colapinto,55.45925824715933,36
Gabriel Bortoleto,49.83919400228007,33
George Russell,46.14195570465765,161
Guanyu Zhou,56.50324957495775,68
Isack Hadjar,39.82768800076588,33
Jack Aitken,53.921790932129845,1
Jack Doohan,47.618887306668924,7
Kevin Magnussen,52.378903457186205,125
Kimi Antonelli,45.48656682570102,33
Kimi Räikkönen,53.9076309830562,79
Lance Stroll,51.842398303870546,180
Lando Norris,48.03318098744886,161
Lewis Hamilton,56.61151158937772,181
Liam Lawson,62.38857455950874,44
Logan Sargeant,50.99745029504052,36
Marcus Ericsson,62.982896879613804,21
Max Verstappen,49.73996455302584,182
Mick Schumacher,58.24657072461838,44
Nicholas Latifi,56.00096693559357,61
Nico Hulkenberg,52.02994796423779,126
Nikita Mazepin,42.01613623689832,22
Nyck De Vries,31.814149253492893,11
Oliver Bearman,56.45779064634004,36
Oscar Piastri,47.71456571275126,79
Pierre Gasly,49.7528199855197,182
Pietro Fittipaldi,56.72300281222728,2
Robert Kubica,55.09322751231099,23
Romain Grosjean,43.674692173063875,57
Sebastian Vettel,49.682380497807245,101
Sergey Sirotkin,45.30322696929174,21
Sergio Perez,55.04407858839835,156
Stoffel Vandoorne,67.41909997796654,21
Valtteri Bottas,43.411479820161006,158
Yuki Tsunoda,49.6763988638942,114
