driver,chaos_score,chaos_races,chaos_score_norm
Alexander Albon,0.7109259259259263,30,53.050868521569555
Andrea Kimi Antonelli,1.6700000000000004,5,58.92585685632047
Antonio Giovinazzi,0.34764705882352925,17,50.82553560497643
Brendon Hartley,1.5850000000000002,5,58.405173395101954
Carlos Sainz,0.026590909090908908,44,48.85884587217326
Charles Leclerc,0.06062499999999991,40,49.06732808692586
Daniel Ricciardo,-0.8878571428571432,35,43.257222615786944
Daniil Kvyat,0.75,15,53.29022409960246
Esteban Ocon,0.3975,40,51.1309191574904
Felipe Massa,-0.47500000000000037,5,45.786256570276855
Fernando Alonso,-1.9257142857142855,35,36.89963379939621
Gabriel Bortoleto,-0.38999999999999985,5,46.30694003149537
George Russell,-0.707142857142857,35,44.36422190728513
Guanyu Zhou,1.6,15,58.497058711787574
Isack Hadjar,0.8150000000000004,5,53.68839380524015
Jack Doohan,3.69,5,71.2997461699839
Jolyon Palmer,0.7500000000000002,5,53.29022409960246
Kevin Magnussen,1.5799999999999996,35,58.37454495620675
Kimi Räikkönen,-1.1869999999999998,25,41.424766871599445
Lance Stroll,1.5138888888888895,45,57.96956893081458
Lando Norris,0.4659722222222222,36,51.55035861236087
Lewis Hamilton,1.1422222222222222,45,55.69285497293755
Liam Lawson,5.233,5,80.75168241304465
Logan Sargeant,3.019135802469135,9,67.19024155377274
Marcus Ericsson,-0.5199999999999996,10,45.51060062022
Max Verstappen,-0.4300000000000001,45,46.06191252033371
Mick Schumacher,-1.3074999999999999,10,40.686621494224966
Nicholas Latifi,0.15000000000000052,15,49.61481143217768
Nico Hülkenberg,-0.7042647058823533,34,44.38185256328783
Nikita Mazepin,-0.5649999999999997,5,45.234944670163145
Nyck de Vries,-1.7300000000000004,5,38.098518407580016
Oliver Bearman,1.6383333333333334,6,58.73187674331749
Oscar Piastri,-1.023333333333333,15,42.42733777143587
Pascal Wehrlein,2.1299999999999994,3,61.74367323467947
Pierre Gasly,-1.6143750000000001,40,38.80680105703166
Robert Kubica,-2.314999999999999,5,34.514991056840856
Romain Grosjean,-1.4,20,40.119995374663645
Sebastian Vettel,-0.6885714285714285,28,44.47798468032447
Sergey Sirotkin,-3.29,5,28.54244547227557
Sergio Pérez,0.8953947368421055,38,54.18086686221308
Stoffel Vandoorne,1.1349999999999998,10,55.64861389453337
Valtteri Bottas,-1.5349999999999997,40,39.29302752449307
Yuki Tsunoda,0.5434,25,52.02465700445253
