driver,avg_overperformance,total_races,chaos_score_norm,sunday_score_norm,active_races_latest_season,is_active,power_score,power_score_norm
Liam Lawson,68.66743869706819,5,80.75168241304465,50.0,5,True,68.55922407244749,75.1812263879774
Jack Doohan,63.16316621291451,5,71.2997461699839,50.0,5,True,62.971506957452426,67.45251888104706
Logan Sargeant,63.757414776023055,9,67.19024155377274,50.0,0,False,62.03577985414334,66.15825846325038
Pascal Wehrlein,61.7533060290145,3,61.74367323467947,50.0,0,False,59.39975498491109,62.512213973879625
Oliver Bearman,60.462831514280424,6,58.73187674331749,50.0,5,True,57.85097878013546,60.370008483862605
Stoffel Vandoorne,56.3009720722593,10,55.64861389453337,61.5441544193835,0,False,57.15390108836636,59.40583841612032
Guanyu Zhou,56.37040719614591,15,58.497058711787574,56.58630086811114,0,False,57.05158138523146,59.26431388267473
Lance Stroll,56.78896432218115,45,57.96956893081458,56.017661124617916,5,True,56.988885065258536,59.17759483286255
Brendon Hartley,58.71113763389124,5,58.405173395101954,50.0,0,False,56.877120835476205,59.0230070067525
Kevin Magnussen,56.75560133437308,35,58.37454495620675,52.09956634989517,0,False,56.3100774240276,58.23869517051844
Andrea Kimi Antonelli,55.957313706115784,5,58.92585685632047,50.0,5,True,55.65641390995403,57.33457386225295
Lewis Hamilton,56.012411880421276,45,55.69285497293755,54.1041672494259,5,True,55.534895881977086,57.16649497140637
Antonio Giovinazzi,50.98630801288712,17,50.82553560497643,69.01073540532661,0,False,54.54296176900181,55.794491259056834
Sergio Pérez,53.846804926056485,38,54.18086686221308,56.28769330551114,0,False,54.4352011827944,55.64544111309697
Nicholas Latifi,51.882267703576,15,49.61481143217768,66.34320877529511,0,False,54.09421903650033,55.17380820478097
Jolyon Palmer,54.097410126096094,5,53.29022409960246,50.0,0,False,53.03577229292878,53.70980687393789
Alexander Albon,51.24571711577182,30,53.050868521569555,57.08100845201033,5,True,52.954320804758844,53.59714642332555
Yuki Tsunoda,52.89030930852416,25,52.02465700445253,53.703268477859005,5,True,52.79320545116964,53.374298090609315
Isack Hadjar,52.90731177873315,5,53.68839380524015,50.0,5,True,52.560174030938626,53.05197832211981
Daniil Kvyat,50.82721969706986,15,53.29022409960246,55.76342766690148,0,False,52.55336261179596,53.04255703876251
Esteban Ocon,49.503590539136525,40,51.1309191574904,58.76870353997658,5,True,51.8448117248107,52.06251770488331
Marcus Ericsson,47.08786823251851,10,45.51060062022,69.41733664614648,0,False,51.08058163155455,51.00546511306182
Lando Norris,51.408290578889385,36,51.55035861236087,47.132684457427544,5,True,50.59578976463847,50.33492033349911
Carlos Sainz,51.88839338618801,44,48.85884587217326,42.8898788226521,5,True,49.17982621927641,48.37641601816583
Gabriel Bortoleto,48.60877105066757,5,46.30694003149537,50.0,5,True,48.1964675347824,47.016273496552024
Charles Leclerc,49.26708807017349,40,49.06732808692586,42.280568213792435,5,True,47.80985610392299,46.48152798126284
Felipe Massa,47.30141557459242,5,45.786256570276855,50.0,0,False,47.386584758379264,45.89607593377222
Nikita Mazepin,47.079238481309204,5,45.234944670163145,50.0,0,False,47.11010264170355,45.513656894528225
Max Verstappen,49.15029733784229,45,46.06191252033371,38.840257463603244,5,True,46.16177391774191,44.20196641752625
George Russell,46.84424188713863,35,44.36422190728513,46.228465359947236,5,True,45.977080587744304,43.94650596799816
Mick Schumacher,46.99611146542766,10,40.686621494224966,51.29089245349592,0,False,45.962220671680505,43.92595232462805
Nico Hülkenberg,46.02020243468708,34,44.38185256328783,47.697884505484765,5,True,45.864233887426835,43.790420911806706
Sebastian Vettel,47.67244448141554,28,44.47798468032447,38.2700268039396,0,False,44.833623005593026,42.36492103498266
Oscar Piastri,45.81600023009501,15,42.42733777143587,41.83488319412708,5,True,44.00317808530369,41.216282734681364
Kimi Räikkönen,43.35923521318291,25,41.424766871599445,43.31636556932339,0,False,42.770320781935965,39.51104367203414
Daniel Ricciardo,45.73539462096052,35,43.257222615786944,33.99510263451272,0,False,42.64388462211889,39.33616221733356
Pierre Gasly,44.229191320148175,40,38.80680105703166,43.7426840035608,5,True,42.505172777895744,39.14430152544731
Nyck de Vries,41.03400779182227,5,38.098518407580016,50.0,0,False,41.94655941818514,38.37164980063451
Fernando Alonso,43.101759957840635,35,36.89963379939621,44.10976522035887,5,True,41.44272316281096,37.67476358233898
Romain Grosjean,43.04078940967681,20,40.119995374663645,36.76118807478508,0,False,40.90863093219452,36.9360285055254
Valtteri Bottas,42.808366875823445,40,39.29302752449307,34.88212094252835,0,False,40.16851588376531,35.91233088213703
Robert Kubica,37.15853968631903,5,34.514991056840856,50.0,0,False,38.93376716021177,34.20447568250792
Sergey Sirotkin,31.918206425550668,5,28.54244547227557,50.0,0,False,34.521836854458,28.102069606397386
