driver,avg_overperformance,total_races,chaos_score_norm,sunday_score_norm,active_races_latest_season,is_active,power_score,power_score_norm,power_score_v2_norm,race_pace,quali_h2h,tyre_management,launch,low_confidence
Stoffel Vandoorne,67.41909997796654,21,68.81579895037763,69.657005780907,0,False,68.28569083027796,76.06576019751586,60.51530618150704,42.071575409181186,35.66131590818135,53.78925243652598,43.65062812211207,False
Marcus Ericsson,62.982896879613804,21,64.46360452279474,65.69067423042038,0,False,63.9686646427294,69.85312438476183,55.49773665333527,39.929119962960115,32.52567690291886,59.68054950790971,52.79272733558241,False
Mick Schumacher,58.24657072461838,44,61.721773962026624,59.660482484582566,0,False,59.57191404783369,63.525757114120395,61.29371385203542,39.32900405755542,53.39527780925602,57.740393289096275,55.09193730832459,False
Nicholas Latifi,56.00096693559357,61,61.12217162222228,64.52994358453944,0,False,59.24312367137135,63.05259462240553,46.703004047538926,36.424164771037994,34.69227441962634,50.22953050003758,53.13685994878324,False
Liam Lawson,62.38857455950874,44,65.16042154622858,40.15729356338223,9,True,58.773872456299394,62.37729482636935,60.099620602140824,44.88075788516438,45.266934589023805,62.67742432368992,56.79673535380174,False
Robert Kubica,55.09322751231099,23,53.13709871517722,69.94986493840355,0,False,57.477716358389365,60.51199555715921,36.937181570914504,27.20857390772847,29.35584563711591,47.662224806720886,63.002899201642094,False
Brendon Hartley,50.46251162993105,21,64.4087909909612,58.56614616412866,0,False,56.26712234507961,58.76982875180457,46.12310779786862,39.76734534010734,40.931512942828356,42.89077759126787,49.40676466392673,False
Oliver Bearman,56.45779064634004,36,58.967634397618696,49.69853712303258,9,True,55.85889306706215,58.182345673814204,61.77022396141236,45.22151595589958,57.6273759694455,52.61471106341748,55.02611687246721,False
Lewis Hamilton,56.61151158937772,181,54.879828843402265,55.13964415572796,9,True,55.79763327885514,58.09418666398602,68.7619496630272,62.92793553756673,50.17252080644109,49.84559952152679,49.686470308082875,False
Guanyu Zhou,56.50324957495775,68,50.665211442565536,54.46781491933984,0,False,54.3447512041165,56.003342917134624,46.26007384297904,40.30288454398197,39.181981913153045,52.749985849190885,46.53178424056563,False
Logan Sargeant,50.99745029504052,36,59.97202711426371,53.87882847104302,0,False,54.26609897600798,55.8901544332405,38.45133703287064,37.744306545513496,35.1977925258714,36.459966496583,55.29489725297354,False
Daniil Kvyat,52.074795422468775,38,53.80785393435502,59.957256023816896,0,False,54.17120509630428,55.75359257564538,52.4895152752348,48.66100252709538,43.82284497838979,47.00211919534614,43.70202091084686,False
Pietro Fittipaldi,56.72300281222728,2,50.0,50.0,0,False,53.36150140611364,54.58834735246224,60.25222141659102,,,61.01868097479258,,True
Sergio Perez,55.04407858839835,156,51.42776605363231,50.79849375979209,9,True,53.110067862247284,54.226509139931316,58.25535776247904,55.3195276778784,45.274579407681514,52.13008722546802,47.73397504283585,False
Alexander Albon,55.768589938169704,138,52.18242189421435,46.44192929652092,9,True,52.82740739665334,53.81973223955864,54.50136827597604,46.337696576988506,49.912532599513995,53.247001986792206,48.69648018313253,False
Kimi Räikkönen,53.9076309830562,79,47.272361299582954,55.05810370101299,0,False,52.14714462160559,52.84076554008977,58.06897736832534,49.7534237483926,45.24978695712611,65.31910208478384,52.25932712646473,False
Jack Aitken,53.921790932129845,1,50.0,50.0,0,False,51.960895466064926,52.57273423253261,55.70888196363148,,,,,True
Lance Stroll,51.842398303870546,180,50.43614594332328,54.110626938675296,9,True,51.874168322667316,52.447925131637206,48.51591932623838,44.31880223689032,40.86044550956699,49.63680884704034,62.28593108079628,False
Kevin Magnussen,52.378903457186205,125,53.82584401659783,47.568645249713306,0,False,51.85093398351511,52.4144885757231,48.50456138784452,41.65838971910205,48.165549493587434,44.261237113713086,61.194165296335974,False
Max Verstappen,49.73996455302584,182,57.69398519667221,47.58701936378041,9,True,51.695581708270666,52.19092099312186,72.19727504035725,65.91066661773178,64.72434538158181,44.45441115543561,49.44623156177556,False
Carlos Sainz,50.471669184945405,181,56.95266921479377,43.42539620860892,9,True,51.00671459863262,51.19957178891517,57.6659559794489,54.498168830392615,50.72684780424602,50.83761448094531,50.29019703924988,False
Franco Colapinto,55.45925824715933,36,43.97900462614697,45.790297987197846,9,True,50.081390108863324,49.86793658129474,45.35288652710395,44.04941036111352,41.04252639118939,48.65721862004299,56.80831552262188,False
Sebastian Vettel,49.682380497807245,101,51.66295060322521,48.22674703996489,0,False,49.985424837864166,49.72983288363601,58.60059692440325,54.30008456751002,50.80857394329696,56.55857470018428,50.484162366958486,False
Nico Hulkenberg,52.02994796423779,126,51.1133496824344,41.66637994497028,9,True,49.68225487584327,49.293540750677735,52.87083651998538,45.95509851139056,52.95949582657685,55.327322412349226,48.974691257852754,False
Jack Doohan,47.618887306668924,7,50.0,50.0,0,False,48.80944365333446,48.03747742764957,47.16294903174639,,36.942202419883,57.45742845769882,,True
